Organization,Repository,IssueNbr,LabelName,LabelDescription,LabelDefaultTag,CreatedAt,ClosedAt,Assignees
hackforla,codeofconduct,2,null,null,null,2018-10-02T00:55:40Z,2018-10-02T00:57:13Z,0
hackforla,codeofconduct,1,null,null,null,2015-08-26T01:28:38Z,2015-08-26T01:29:17Z,0
hackforla,ohana-api-la,15,null,null,null,2017-06-07T03:32:50Z,2017-06-07T03:39:25Z,0
hackforla,ohana-api-la,14,null,null,null,2017-04-15T03:28:59Z,2017-04-15T03:29:04Z,0
hackforla,ohana-api-la,13,null,null,null,2017-04-08T15:30:34Z,2017-04-08T15:39:56Z,0
hackforla,ohana-api-la,12,null,null,null,2017-03-10T04:12:41Z,2017-03-10T04:25:20Z,0
hackforla,ohana-api-la,11,null,null,null,2016-03-06T20:21:25Z,2016-04-09T05:07:20Z,0
hackforla,ohana-api-la,10,null,null,null,2015-06-23T23:37:29Z,2015-06-24T00:10:55Z,0
hackforla,ohana-api-la,9,null,null,null,2015-06-17T15:31:43Z,2015-06-17T15:40:02Z,0
hackforla,ohana-api-la,8,null,null,null,2015-06-02T16:26:25Z,2017-03-09T17:16:58Z,0
hackforla,ohana-api-la,7,null,null,null,2015-05-31T18:25:09Z,2015-05-31T18:31:37Z,0
hackforla,ohana-api-la,6,null,null,null,2015-05-24T21:40:32Z,2015-05-24T21:45:35Z,0
hackforla,ohana-api-la,5,null,null,null,2015-05-23T19:11:47Z,,0
hackforla,ohana-api-la,4,enhancement,,True,2015-05-22T23:40:20Z,,0
hackforla,ohana-api-la,4,help wanted,,True,2015-05-22T23:40:20Z,,0
hackforla,ohana-api-la,3,enhancement,,True,2015-05-22T23:39:33Z,,0
hackforla,ohana-api-la,2,enhancement,,True,2015-05-22T23:37:15Z,,0
hackforla,ohana-api-la,1,null,null,null,2015-05-17T04:08:44Z,2015-05-17T04:16:49Z,0
hackforla,ohana-web-search-la,9,null,null,null,2017-06-07T03:32:21Z,2017-06-07T03:37:22Z,0
hackforla,ohana-web-search-la,8,null,null,null,2017-05-27T23:24:39Z,2017-05-27T23:24:58Z,0
hackforla,ohana-web-search-la,7,null,null,null,2017-04-08T15:29:30Z,2017-04-08T18:35:17Z,0
hackforla,ohana-web-search-la,6,null,null,null,2016-03-06T20:23:07Z,2017-03-09T16:49:47Z,0
hackforla,ohana-web-search-la,5,null,null,null,2015-06-23T23:36:20Z,2015-06-24T00:11:10Z,0
hackforla,ohana-web-search-la,4,null,null,null,2015-06-17T15:35:49Z,2015-06-17T15:40:26Z,0
hackforla,ohana-web-search-la,3,null,null,null,2015-05-31T23:47:23Z,,0
hackforla,ohana-web-search-la,2,blocked,,False,2015-05-17T05:40:31Z,,0
hackforla,ohana-web-search-la,1,null,null,null,2015-04-29T06:03:44Z,,0
hackforla,project-groups,11,null,null,null,2018-07-18T02:34:58Z,2018-07-18T03:07:29Z,0
